目标,平均延迟(ms),最小延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
104.17.47.98:443,2.16,1.76,0.00,17.67,CA,加拿大·CA,Cloudflare,
172.64.145.131:443,2.16,1.83,0.00,26.48,CA,加拿大·CA,Cloudflare,
104.18.41.251:443,2.17,1.73,0.00,30.46,CA,加拿大·CA,Cloudflare,
104.25.141.98:443,2.17,1.72,0.00,21.35,CA,加拿大·CA,Cloudflare,
104.19.77.227:443,2.17,1.83,0.00,28.12,CA,加拿大·CA,Cloudflare,
104.26.14.137:443,2.17,1.74,0.00,25.25,CA,加拿大·CA,Cloudflare,
49.238.238.160:443,2.17,1.96,0.00,36.95,KR,韩国·KR,Cloudflare,
173.245.58.196:443,2.17,1.85,0.00,23.33,CA,加拿大·CA,Cloudflare,
104.19.61.221:443,2.17,1.74,0.00,23.69,CA,加拿大·CA,Cloudflare,
172.64.145.245:443,2.17,1.72,0.00,22.41,CA,加拿大·CA,Cloudflare,
8.35.211.65:443,2.17,1.73,0.00,35.84,US,美国·US,Cloudflare,
104.19.46.184:443,2.18,1.84,0.00,17.25,CA,加拿大·CA,Cloudflare,
172.64.229.182:443,2.18,1.72,0.00,30.88,CA,加拿大·CA,Cloudflare,
104.17.223.112:443,2.18,1.82,0.00,30.18,CA,加拿大·CA,Cloudflare,
172.67.65.250:443,2.18,1.95,0.00,23.50,CA,加拿大·CA,Cloudflare,
104.19.77.88:443,2.18,1.75,0.00,20.98,CA,加拿大·CA,Cloudflare,
104.19.221.89:443,2.18,1.58,0.00,24.20,CA,加拿大·CA,Cloudflare,
104.17.102.130:443,2.18,1.80,0.00,21.41,CA,加拿大·CA,Cloudflare,
27.50.48.199:443,2.18,1.91,0.00,21.83,HK,香港·HK,Cloudflare,
154.92.9.199:443,2.19,1.83,0.00,21.50,CY,CY·CY,Cloudflare,
104.19.221.101:443,2.19,1.80,0.00,21.85,CA,加拿大·CA,Cloudflare,
198.41.223.229:443,2.19,1.56,0.00,23.65,CA,加拿大·CA,Cloudflare,
162.159.16.200:443,2.19,1.84,0.00,22.70,CA,加拿大·CA,Cloudflare,
162.159.16.71:443,2.19,1.84,0.00,23.97,CA,加拿大·CA,Cloudflare,
162.159.46.67:443,2.19,1.71,0.00,23.63,CA,加拿大·CA,Cloudflare,
162.159.45.161:443,10.01,9.86,0.00,34.75,US,美国·US,Cloudflare,
162.159.38.126:443,10.02,9.99,0.00,27.03,US,美国·US,Cloudflare,
162.159.38.20:443,10.03,9.82,0.00,30.75,US,美国·US,Cloudflare,
162.159.44.248:443,10.04,9.93,0.00,41.68,US,美国·US,Cloudflare,
108.162.198.248:443,10.04,9.94,0.00,39.75,US,美国·US,Cloudflare,
162.159.38.135:443,10.05,9.90,0.00,29.58,US,美国·US,Cloudflare,
162.159.45.41:443,10.05,9.85,0.00,23.88,US,美国·US,Cloudflare,
162.159.45.74:443,10.05,9.94,0.00,35.73,US,美国·US,Cloudflare,
162.159.38.176:443,10.06,9.94,0.00,35.27,US,美国·US,Cloudflare,
162.159.44.170:443,10.06,9.92,0.00,36.59,US,美国·US,Cloudflare,
162.159.39.43:443,10.07,9.95,0.00,49.11,US,美国·US,Cloudflare,
108.162.198.102:443,10.08,9.97,0.00,38.12,US,美国·US,Cloudflare,
108.162.198.72:443,10.09,9.89,0.00,43.98,US,美国·US,Cloudflare,
162.159.45.222:443,10.09,9.95,0.00,34.05,US,美国·US,Cloudflare,
162.159.38.226:443,10.09,9.86,0.00,41.90,US,美国·US,Cloudflare,
108.162.198.39:443,10.09,9.86,0.00,36.48,US,美国·US,Cloudflare,
162.159.45.244:443,10.10,9.92,0.00,38.29,US,美国·US,Cloudflare,
172.64.52.60:443,10.10,10.01,0.00,41.06,CA,加拿大·CA,Cloudflare,
162.159.38.12:443,10.10,10.01,0.00,39.53,US,美国·US,Cloudflare,
162.159.44.25:443,10.11,9.98,0.00,36.13,US,美国·US,Cloudflare,
172.64.53.114:443,10.11,9.96,0.00,43.81,CA,加拿大·CA,Cloudflare,
108.162.198.238:443,10.11,9.92,0.00,38.62,US,美国·US,Cloudflare,
162.159.45.253:443,10.11,9.90,0.00,31.11,US,美国·US,Cloudflare,
172.64.53.203:443,10.13,9.93,0.00,39.21,CA,加拿大·CA,Cloudflare,
108.162.198.74:443,10.14,10.02,0.00,43.06,US,美国·US,Cloudflare,
162.159.38.123:443,10.14,10.03,0.00,32.68,US,美国·US,Cloudflare,
172.64.53.99:443,10.14,9.97,0.00,36.08,CA,加拿大·CA,Cloudflare,
162.159.38.96:443,10.14,10.01,0.00,36.14,US,美国·US,Cloudflare,
162.159.45.124:443,10.15,10.03,0.00,35.96,US,美国·US,Cloudflare,
162.159.44.220:443,10.15,10.07,0.00,41.11,US,美国·US,Cloudflare,
162.159.38.63:443,10.15,9.94,0.00,44.04,US,美国·US,Cloudflare,
172.64.53.116:443,10.15,10.04,0.00,38.48,US,美国·US,Cloudflare,
162.159.45.205:443,10.15,10.05,0.00,29.61,US,美国·US,Cloudflare,
172.64.53.232:443,10.16,10.00,0.00,39.68,US,美国·US,Cloudflare,
172.64.53.239:443,10.16,10.02,0.00,34.53,US,美国·US,Cloudflare,
162.159.44.7:443,10.16,10.02,0.00,27.44,US,美国·US,Cloudflare,
162.159.38.113:443,10.16,9.96,0.00,39.36,US,美国·US,Cloudflare,
162.159.38.223:443,10.16,9.92,0.00,40.47,US,美国·US,Cloudflare,
162.159.45.176:443,10.16,10.00,0.00,47.37,US,美国·US,Cloudflare,
162.159.38.199:443,10.17,9.97,0.00,40.26,US,美国·US,Cloudflare,
162.159.38.58:443,10.17,10.01,0.00,43.80,US,美国·US,Cloudflare,
162.159.39.67:443,10.18,10.07,0.00,32.26,US,美国·US,Cloudflare,
162.159.39.183:443,10.18,9.99,0.00,30.76,US,美国·US,Cloudflare,
162.159.38.206:443,10.18,10.04,0.00,32.03,US,美国·US,Cloudflare,
172.64.53.146:443,10.18,9.96,0.00,34.69,US,美国·US,Cloudflare,
162.159.45.192:443,10.18,9.99,0.00,29.31,US,美国·US,Cloudflare,
162.159.44.210:443,10.18,10.08,0.00,44.35,US,美国·US,Cloudflare,
162.159.38.88:443,10.18,10.01,0.00,32.25,US,美国·US,Cloudflare,
162.159.39.141:443,10.19,9.79,0.00,41.71,US,美国·US,Cloudflare,
108.162.198.217:443,10.19,10.10,0.00,41.79,US,美国·US,Cloudflare,
162.159.45.48:443,10.19,10.08,0.00,51.66,US,美国·US,Cloudflare,
162.159.44.57:443,10.19,9.98,0.00,27.58,US,美国·US,Cloudflare,
162.159.45.144:443,10.20,9.97,0.00,34.72,US,美国·US,Cloudflare,
162.159.45.224:443,10.20,10.05,0.00,36.38,US,美国·US,Cloudflare,
162.159.45.31:443,10.20,10.02,0.00,34.82,US,美国·US,Cloudflare,
162.159.39.247:443,10.20,10.09,0.00,22.02,US,美国·US,Cloudflare,
172.64.53.70:443,10.20,9.85,0.00,29.59,US,美国·US,Cloudflare,
108.162.198.187:443,10.20,9.99,0.00,35.26,US,美国·US,Cloudflare,
162.159.39.136:443,10.20,10.09,0.00,32.91,US,美国·US,Cloudflare,
162.159.39.166:443,10.21,9.98,0.00,30.09,US,美国·US,Cloudflare,
162.159.44.203:443,10.21,9.98,0.00,42.52,US,美国·US,Cloudflare,
162.159.44.209:443,10.22,10.00,0.00,29.00,US,美国·US,Cloudflare,
162.159.38.87:443,10.22,10.07,0.00,27.15,US,美国·US,Cloudflare,
162.159.44.97:443,10.22,10.09,0.00,44.91,US,美国·US,Cloudflare,
162.159.44.29:443,10.22,9.88,0.00,22.77,US,美国·US,Cloudflare,
162.159.45.54:443,10.22,10.05,0.00,33.58,US,美国·US,Cloudflare,
162.159.45.88:443,10.22,9.92,0.00,35.07,US,美国·US,Cloudflare,
108.162.198.235:443,10.22,9.88,0.00,24.48,US,美国·US,Cloudflare,
108.162.198.50:443,10.23,10.00,0.00,38.15,US,美国·US,Cloudflare,
162.159.38.252:443,10.23,10.03,0.00,37.02,US,美国·US,Cloudflare,
162.159.39.197:443,10.23,10.15,0.00,21.51,US,美国·US,Cloudflare,
